iter	F1	Logloss
0	0.8391663223	0.6729547543
1	0.8397328204	0.6556115514
2	0.8397328204	0.6482739669
3	0.8397328204	0.6329060878
4	0.8397012044	0.627054263
5	0.8398122017	0.6215311588
6	0.8449656884	0.6086267034
7	0.8398122017	0.6037660719
8	0.8451650826	0.5993085439
9	0.8463360234	0.5952950338
10	0.8464496239	0.5915769268
11	0.846416749	0.5882215095
12	0.8464496239	0.5847396269
13	0.8464496239	0.573458892
14	0.8459948962	0.5699689818
15	0.847346909	0.5666622527
16	0.8465069195	0.5585344188
17	0.8476403537	0.5564815884
18	0.8472663208	0.5544845654
19	0.8477107938	0.5524697231
20	0.847817226	0.5508398344
21	0.8478416123	0.5490513635
22	0.8479639819	0.5468279221
23	0.8477262876	0.5441402741
24	0.8481474178	0.5421461491
25	0.8479768925	0.5407761725
26	0.849638599	0.530435525
27	0.8495519678	0.5292690339
28	0.849497063	0.5274563281
29	0.8496185737	0.5257209784
30	0.8498455256	0.5247439346
31	0.8500137488	0.5197665744
32	0.8498505289	0.5186921353
33	0.8497171908	0.51780893
34	0.8496172146	0.5168097672
35	0.8493522126	0.5154249048
36	0.8497704043	0.5145175392
37	0.8496039693	0.513481568
38	0.849621288	0.5122677838
39	0.8494882134	0.5117933991
40	0.8493551805	0.5107410602
41	0.8491224732	0.5077301721
42	0.8491557093	0.5039266734
43	0.8491224732	0.5032611569
44	0.8491557093	0.5025371552
45	0.8491557093	0.4952838823
46	0.8493551805	0.4947251306
47	0.8496545631	0.4920349022
48	0.8496372511	0.4897922426
49	0.8497544043	0.4866652959
50	0.8505034936	0.4861873334
51	0.8507370146	0.4855334795
52	0.8512038406	0.4850845641
53	0.8510538048	0.4845269079
54	0.8519231483	0.4840884637
55	0.8518227488	0.4837452943
56	0.8521741823	0.4832319009
57	0.8528278099	0.4817358928
58	0.8527104909	0.4812288354
59	0.8527104909	0.4809331671
60	0.8528782258	0.4793955927
61	0.8532138936	0.4790984575
62	0.8533818266	0.4788173056
63	0.8532138936	0.4743332429
64	0.8529453382	0.4740410533
65	0.855098527	0.4717829043
66	0.8549973535	0.471491106
67	0.8553684402	0.4681004335
68	0.8562130184	0.467350012
69	0.8561792032	0.4670891045
70	0.8562130184	0.4654882905
71	0.8565174749	0.4651415546
72	0.856686711	0.4647543671
73	0.856840137	0.46448857
74	0.8569417716	0.4643455272
75	0.8584547016	0.4604264273
76	0.8589760771	0.45802598
77	0.8590625207	0.457749264
78	0.8607294143	0.4558307963
79	0.8609680702	0.4537906428
80	0.8607825544	0.4535884698
81	0.8606802768	0.4532794234
82	0.8608166524	0.4531086781
83	0.8608357266	0.4529100515
84	0.8612409819	0.4495552019
85	0.8614116395	0.4493292816
86	0.8622517251	0.4449627106
87	0.8625934194	0.4446190987
88	0.8626129658	0.4443442806
89	0.8625299274	0.4441255094
90	0.8626178785	0.4439208759
91	0.8631167802	0.4432686977
92	0.8633764297	0.4421293351
93	0.8651771183	0.4406929782
94	0.8652662876	0.4373994392
95	0.8652662876	0.4372130888
96	0.8652521756	0.4350529176
97	0.8649341716	0.4348409565
98	0.8649888827	0.4340259216
99	0.8650577989	0.433301257
100	0.8651815209	0.4330911169
101	0.8653053376	0.4329320885
102	0.8655468849	0.4327103815
103	0.8656159232	0.4325963443
104	0.8658436307	0.4313508247
105	0.8659472882	0.4312150871
106	0.8655455437	0.4310813282
107	0.8655314489	0.4307762207
108	0.8655173478	0.4297893949
109	0.8654827771	0.4296351217
110	0.8653020735	0.4294582479
111	0.8656480089	0.4283885732
112	0.8657031531	0.4281865243
113	0.8657442565	0.4280189533
114	0.8659802025	0.4279173165
115	0.8662434621	0.4265728335
116	0.8660074425	0.4263750527
117	0.8659934132	0.4247415646
118	0.8660627721	0.4245834656
119	0.8663821709	0.4244098335
120	0.8661668311	0.4242359281
121	0.8659653358	0.4241341406
122	0.8661875308	0.4213493751
123	0.8667708421	0.4212184197
124	0.8666041374	0.4191578124
125	0.8668959453	0.4166382237
126	0.8673754052	0.4138122777
127	0.867639977	0.4136924347
128	0.8678140132	0.4135108974
129	0.8679532924	0.4134224806
130	0.8680926164	0.4132515002
131	0.8680926164	0.4130374818
132	0.8680093399	0.4129345267
133	0.8681138673	0.4127111522
134	0.8679821037	0.4125729344
135	0.8679336177	0.412434512
136	0.867919977	0.4123370813
137	0.8679548431	0.412177584
138	0.8679897119	0.4120511668
139	0.8681989837	0.4119374573
140	0.8682900909	0.4117820133
141	0.8684297245	0.411685555
142	0.8681931104	0.4115643987
143	0.8680262221	0.4114752073
144	0.8682706972	0.4108109203
145	0.8681872287	0.4107134426
146	0.8682085635	0.4106362956
147	0.8682784625	0.410498986
148	0.8684182943	0.4104257737
149	0.868251267	0.4103211393
150	0.8683775799	0.4101786636
151	0.8682940159	0.4101126773
152	0.8683989905	0.4099720497
153	0.8684689877	0.4098847615
154	0.8683154074	0.4097484834
155	0.8684204125	0.4096744941
156	0.8682881946	0.4095428237
157	0.8683582246	0.4089340302
158	0.8684983185	0.4088540194
159	0.868519785	0.4087883558
160	0.8687651296	0.4087257369
161	0.8694150553	0.4060605392
162	0.8698143628	0.4038161175
163	0.8696957675	0.4037452141
164	0.8701435996	0.401957001
165	0.8701084815	0.401873927
166	0.8703763492	0.4015059571
167	0.8704466485	0.4014262897
168	0.8707279596	0.4013495335
169	0.8704071865	0.4012875018
170	0.8706665877	0.4011986421
171	0.8704512337	0.4011346403
172	0.8704028694	0.4010612282
173	0.8704380707	0.4004409723
174	0.870662457	0.3985158863
175	0.870627246	0.3984342601
176	0.8707197841	0.3983266256
