iter	Passed	Remaining
0	6	2832
1	10	2383
2	14	2150
3	19	2155
4	23	2050
5	26	1978
6	30	1958
7	34	1923
8	39	1920
9	42	1890
10	46	1862
11	50	1845
12	54	1821
13	58	1819
14	62	1803
15	66	1791
16	70	1786
17	73	1770
18	77	1768
19	81	1756
20	85	1741
21	88	1731
22	92	1719
23	96	1709
24	100	1705
25	103	1694
26	108	1696
27	111	1686
28	116	1694
29	120	1686
30	124	1677
31	128	1675
32	132	1672
33	136	1668
34	140	1662
35	144	1658
36	148	1652
37	151	1647
38	155	1642
39	159	1636
40	163	1629
41	167	1631
42	171	1627
43	175	1620
44	179	1614
45	183	1614
46	187	1607
47	191	1603
48	195	1601
49	200	1603
50	203	1595
51	207	1589
52	211	1582
53	215	1578
54	218	1572
55	222	1565
56	226	1559
57	230	1554
58	233	1548
59	237	1542
60	241	1541
61	245	1537
62	249	1532
63	253	1531
64	257	1525
65	262	1527
66	266	1523
67	271	1525
68	275	1519
69	279	1515
70	283	1513
71	287	1510
72	291	1504
73	295	1499
74	298	1493
75	302	1490
76	307	1488
77	311	1484
78	315	1481
79	319	1478
80	323	1472
81	327	1469
82	331	1464
83	334	1458
84	339	1456
85	342	1450
86	347	1448
87	350	1443
88	354	1437
89	357	1431
90	361	1427
91	365	1421
92	369	1418
93	373	1413
94	377	1411
95	381	1406
96	385	1403
97	389	1399
98	393	1395
99	397	1392
100	401	1386
101	405	1381
102	409	1379
103	413	1374
104	417	1371
105	420	1365
106	424	1361
107	428	1357
108	432	1353
109	436	1349
110	440	1344
111	444	1341
112	448	1336
113	452	1332
114	455	1327
115	461	1327
116	464	1322
117	469	1320
118	472	1315
119	476	1310
120	481	1308
121	484	1303
122	489	1300
123	493	1296
124	497	1293
125	501	1290
126	506	1287
127	509	1282
128	513	1278
129	517	1273
130	521	1269
131	525	1266
132	529	1262
133	533	1257
134	536	1252
135	540	1248
136	544	1243
137	548	1239
138	552	1235
139	555	1230
140	559	1226
141	563	1222
142	567	1217
143	571	1213
144	575	1209
145	578	1204
146	582	1200
147	586	1196
148	590	1191
149	593	1187
150	597	1182
151	600	1178
152	604	1173
153	608	1169
154	611	1164
155	615	1160
156	619	1155
157	623	1152
158	627	1147
159	630	1143
160	634	1138
161	638	1135
162	642	1131
163	646	1127
164	650	1123
165	654	1119
166	658	1115
167	662	1111
168	665	1107
169	669	1102
170	673	1098
171	676	1094
172	680	1090
173	685	1087
174	690	1084
175	693	1080
176	697	1075
177	701	1071
178	705	1068
179	708	1063
180	713	1060
181	716	1055
182	720	1051
183	724	1047
184	727	1042
185	731	1038
186	735	1034
187	738	1029
188	742	1025
189	746	1021
190	751	1018
191	755	1014
192	758	1010
193	762	1006
194	766	1002
195	770	998
